actualizacion_real,cita_fuentes_externas,n_dominios_externos,atribucion_explicita,error,autor,ruta
True,False,0,False,,Ana Sosa,/market-brief/finanzas/artemis-ii-el-inicio-de-la-economia-cislunar-y-el-rediseno-del-poder-corporativo-global/
True,False,0,False,,Ana Sosa,/business/the-odyssey-el-exito-en-taquilla-que-demuestra-a-hollywood-que-el-uso-de-ia-no-es-la-unica-formula/
False,False,0,False,,Ana Sosa,/business/pix-el-sistema-de-pagos-favorito-de-brasil-que-termino-incomodando-a-donald-trump/
False,False,0,True,,Ana Sosa,/money-invest/daily-news/jet-set-un-ano-despues-el-incidente-del-8-de-abril-de-2025/
True,False,0,False,,Ana Sosa,/business/clip-como-una-fintech-encontro-su-mayor-mercado-en-una-economia-que-todavia-se-mueve-en-efectivo/
False,False,0,False,,Ana Sosa,/business/el-negocio-detras-del-gol-la-red-que-procesa-los-pagos-del-mundial/
False,False,0,False,,Andrea Mercedes,/money-invest/daily-news/cuando-se-sabra-quien-gano-las-elecciones-en-peru-2026-esto-es-lo-que-falta/
False,False,0,True,,Andrea Mercedes,/money-invest/daily-news/quien-gano-las-elecciones-en-peru-2026-sanchez-lidera-con-50-1-pero-faltan-los-votos-del-extranjero/
True,False,0,False,,Andrea Mercedes,/money-invest/daily-news/monorriel-de-santo-domingo-por-donde-pasara-estaciones-y-como-cambiara-el-trafico/
True,False,0,True,,Andrea Mercedes,/money-invest/daily-news/el-monorriel-de-santo-domingo-ya-tiene-fecha-de-inicio-arrancaria-la-proxima-semana/
False,False,0,True,,Andrea Mercedes,/money-invest/daily-news/mundial-2030-y-2034-donde-y-cuando-se-jugaran-las-proximas-ediciones-de-la-copa-del-mundo/
False,False,0,True,,Andrea Mercedes,/money-invest/daily-news/abinader-promulga-la-reforma-fiscal-estas-son-las-principales-medidas-de-la-ley-30-26/
False,False,0,False,,Andrea Mercedes,/money-invest/daily-news/resultado-final-elecciones-peru-2026-fujimori-vs-sanchez-quien-se-esta-imponiendo-en-segunda-vuelta/
False,False,0,True,,Andrea Mercedes,/money-invest/daily-news/quien-va-ganando-en-peru-con-el-99-5-de-votos-contados-fujimori-se-acerca-a-la-victoria/
False,False,0,False,,Andrea Mercedes,/money-invest/daily-news/elecciones-peru-2026-que-dice-la-ley-si-hay-empate-entre-keiko-fujimori-y-roberto-sanchez/
False,False,0,True,,Andrea Mercedes,/money-invest/daily-news/monorriel-de-santo-domingo-asi-conectara-al-distrito-nacional-con-sde-en-18-minutos/
False,False,0,True,,Andrea Mercedes,/money-invest/daily-news/cuanto-pagaras-por-una-transferencia-bancos-explican-como-funciona-el-nuevo-impuesto-de-0-20/
False,False,0,True,,Andrea Mercedes,/money-invest/daily-news/que-famosos-murieron-en-el-terremoto-de-venezuela-lista-de-artistas-afectados-y-desaparecidos/
True,False,0,True,,Andrea Mercedes,/money-invest/daily-news/quien-va-ganando-las-elecciones-en-colombia-2026-los-favoritos-segun-las-encuestas/
False,False,0,True,,Andrea Mercedes,/money-invest/daily-news/aislamiento-base-tecnologia-edificios-antisismicos/
True,False,0,False,,Andrea Mercedes,/money-invest/daily-news/cuando-es-la-segunda-vuelta-presidencial-en-colombia-calendario-electoral/
False,False,0,False,,Ashley Presinal,/empresas/asesoria-juridica-estrategica-jdd-hiraldo-perez/
True,False,0,False,,Ashley Presinal,/empresas/liderazgo-femenino-sistema-pensiones-kirsis-jaquez/
True,False,0,False,,Ashley Presinal,/empresas/proyecto-hostos-integracion-energetica-rd-puerto-rico/
True,False,0,False,,Ashley Presinal,/empresas/bhd-educacion-financiera-eje-sostenibilidad/
True,False,0,False,,Ashley Presinal,/empresas/transformacion-digital-financiera-asociacion-duarte/
True,False,0,False,,Darling Gil,/lifestyle/el-renacer-del-day-date-40/
True,False,0,False,,Darling Gil,/empresas/brand-content/valerie-grullon-lidera-nueva-etapa-en-ccd/
True,False,0,False,,Darling Gil,/mercado/conoce-a-los-lideres-que-marcan-la-diferencia-100-ceo-mas-destacados-de-republica-dominicana/
True,False,0,False,,Darling Gil,/vida-en-la-cima/punta-cana-entra-en-la-era-nadal/
True,False,0,True,,Darling Gil,/lifestyle/dave-busters-llega-a-republica-dominicana-con-su-primera-sede-en-santo-domingo/
True,False,0,False,,Darling Gil,/cover-story/gianni-infantino-el-arquitecto-de-un-futbol-globalizado/
True,False,0,False,,Darling Gil,/market-brief/los-5-directores-financieros-mejor-pagados-del-mundo-en-2025/
True,False,0,False,,Darling Gil,/empresas/la-edicion-que-celebra-a-los-lideres-de-la-innovacion-y-el-emprendimiento/
False,False,0,False,,Darling Gil,/empresas/brand-content/grow-here-go-further/
False,False,0,False,,Darling Gil,/actualidad/mercado-media-network-presenta-la-tercera-edicion-del-rd-country-report-2025-2026-en-fitur-2026/
False,False,0,False,,Darling Gil,/money-invest/republica-dominicana/in-memoriam-hector-rizek-llabaly/
True,False,0,False,,Darling Gil,/mercado-women/executive-profiles/lucy-doughty-filantropia/
False,False,0,False,,Darling Gil,/empresas/clerhp-impulsa-un-nuevo-modelo-inmobiliario-desde-larimar-city-resort/
True,False,0,False,,Darling Gil,/empresas/brand-content/impulsan-operaciones-inteligentes-en-el-caribe/
False,False,0,False,,Darling Gil,/empresas/brand-content/larimar-living-una-nueva-experiencia-de-interiorismo-para-dar-vida-a-tu-hogar/
True,True,1,False,,Edwin Lozada,/money-invest/daily-news/elecciones-colombia-2026-en-vivo-resultados-segunda-vuelta/
True,False,0,False,,Edwin Lozada,/nacional/🔴-sigue-en-vivo-el-desfile-militar-del-27-de-febrero-en-el-malecon-de-santo-domingo/
True,True,1,False,,Edwin Lozada,/empresas/sport-business/medallero-juegos-centroamericanos-2026-en-vivo/
True,True,1,False,,Edwin Lozada,/money-invest/daily-news/🔴-en-vivo-quien-va-ganando-las-elecciones-en-peru-2026/
True,True,1,True,,Edwin Lozada,/money-invest/daily-news/espana-trofeo-original-mundial-2026/
True,False,0,False,,Edwin Lozada,/money-invest/happening-now/muere-eric-dane-actor-mark-sloan-greys-anatomy/
True,False,0,True,,Edwin Lozada,/lifestyle/que-no-hacer-en-semana-santa/
False,True,1,True,,Edwin Lozada,/money-invest/daily-news/records-espana-campeona-mundial-2026-2/
True,True,1,True,,Edwin Lozada,/money-invest/daily-news/fuerte-temblor-venezuela-caracas-hoy-24-de-junio/
True,False,0,False,,Edwin Lozada,/empresas/sport-business/agenda-hoy-juegos-centroamericanos-santo-domingo-2026/
True,True,1,True,,Edwin Lozada,/money-invest/daily-news/elecciones-quien-va-ganando-elecciones-colombia-2026-en-vivo/
True,True,1,False,,Edwin Lozada,/empresas/sport-business/inauguracion-mundial-2026-en-vivo-hora-canales-republica-dominicana/
True,True,1,True,,Edwin Lozada,/money-invest/daily-news/nasa-en-vivo-artemis-ii-regreso-tierra-hoy-rd/
True,False,0,False,,Edwin Lozada,/money-invest/daily-news/abelardo-de-la-espriella-gana-elecciones-colombia-2026/
True,True,1,False,,Edwin Lozada,/money-invest/daily-news/daily-news-terremoto-filipinas-hoy-mindanao-tsunami/
False,True,1,True,,Elba Reyes,/money-invest/daily-news/que-documentos-necesitas-para-la-nueva-cedula-en-rd-pasos-y-requisitos/
False,True,2,False,,Elba Reyes,/money-invest/daily-news/link-oficial-para-consultar-el-bono-madre-2026-verifica-con-tu-cedula-si-eres-beneficiaria/
False,False,0,True,,Elba Reyes,/money-invest/daily-news/dominicanos-en-el-exterior-renovaran-su-cedula-desde-mayo-como-sacar-cita/
False,False,0,True,,Elba Reyes,/money-invest/daily-news/cuantos-tipos-de-cedula-hay-en-rd-y-que-cambia-en-cada-una/
False,False,0,True,,Elba Reyes,/empresas/estas-5-carreras-universitarias-estan-saturadas-en-rd-y-ganan-menos-que-otras-segun-anje/
False,False,0,False,,Elba Reyes,/technology/cuando-comprar-un-iphone-en-2026-los-meses-en-que-el-15-pro-max-y-16-pro-max-bajan-de-precio/
True,False,0,True,,Elba Reyes,/lifestyle/estos-son-los-paises-a-los-que-los-dominicanos-pueden-viajar-sin-visa-en-2026/
True,False,0,False,,Elba Reyes,/empresas/sport-business/rd-vs-detroit-cuando-juegan-donde-verlo-y-a-que-hora-seran-los-partidos-previo-al-clasico-mundial-de-beisbol-2026/
False,False,0,True,,Elba Reyes,/technology/como-verificar-en-que-dispositivos-esta-abierta-tu-cuenta-de-whatsapp/
False,False,0,False,,Elba Reyes,/technology/como-saber-si-te-bloquearon-en-whatsapp-las-senales-que-si-lo-confirman/
True,True,1,False,,Elba Reyes,/empresas/las-carreras-mas-estudiadas-en-republica-dominicana-en-la-actualidad/
True,False,0,False,,Elba Reyes,/money-invest/happening-now/por-que-bad-bunny-no-menciono-a-belice-en-el-cierre-de-su-halftime-show/
True,False,0,False,,Elba Reyes,/actualidad/resultados-de-leidsa-del-sabado-30-de-mayo-de-2026/
False,False,0,False,,Elba Reyes,/actualidad/resultados-de-leidsa-del-sabado-13-de-junio-de-2026/
False,False,0,False,,Elba Reyes,/actualidad/resultados-de-la-loteria-quiniela-real-del-lunes-22-junio-de-2026/
False,True,3,True,,Gabriel Rico Albarrán,/medihealth/mutaciones-geneticas-ansiedad/
False,False,0,False,,Gabriel Rico Albarrán,/actualidad/paises-reino-unido/
True,False,0,False,,Gabriel Rico Albarrán,/empresas/juan-tomas-diaz-lider-de-proyectos-innovadores-por-y-para-los-dominicanos/
False,False,0,True,,Gabriel Rico Albarrán,/mercado/las-empresas-militares-privadas-mas-activas/
True,False,0,False,,Gabriel Rico Albarrán,/vida-en-la-cima/siete-peliculas-de-tim-burton-con-la-tematica-ideal-para-halloween/
False,True,4,True,,Gabriel Rico Albarrán,/empresas/que-hay-detras-de-la-compra-de-aes-por-us33400-millones-y-el-papel-de-la-gestora-de-activos-blackrock/
False,False,0,False,,Gabriel Rico Albarrán,/actualidad/precios-netflix-rd-tarifas-mensuales-planes/
True,False,0,False,,Gabriel Rico Albarrán,/actualidad/jose-antonio-tony-caro-ginebra-el-continuador-de-un-gran-legado-en-la-arquitectura-contemporanea/
False,False,0,False,,Gabriel Rico Albarrán,/mercado-exchange/mercado-mejores-empresas-para-trabajar-summit-2026-con-las-soft-skills-y-salud-mental-al-centro-de-la-conversacion/
False,True,1,True,,Gabriel Rico Albarrán,/actualidad/aumento-salario-minimo-rd-sector-privado-no-sectorizado/
False,False,0,False,,Gabriel Rico Albarrán,/actualidad/billete-2000-pesos-caracteristicas-seguridad-banco-central/
True,False,0,False,,Gabriel Rico Albarrán,/actualidad/que-es-el-estado-de-la-union-y-que-podemos-esperar-del-mensaje-de-donald-trump/
False,False,0,True,,Gabriel Rico Albarrán,/mercado/lunar-embassy-negocio-luna/
False,False,0,False,,Gabriel Rico Albarrán,/medihealth/clinofilia-el-trastorno-detras-del-no-querer-levantarse-de-la-cama/
False,False,0,False,,Gabriel Rico Albarrán,/actualidad/commonwealth-que-paises-la-conforman/
True,False,0,True,,Jhojhanni Fiorini,/lifestyle/eclipse-lunar-del-3-de-marzo-2026-a-que-hora-se-vera-en-republica-dominicana/
True,False,0,False,,Jhojhanni Fiorini,/medihealth/salud/como-evitar-que-entren-cucarachas-por-la-puerta-de-tu-casa-metodos-efectivos-que-si-funcionan/
True,False,0,False,,Jhojhanni Fiorini,/actualidad/resultados-de-las-loterias-del-28-de-junio-de-2026-en-republica-dominicana/
False,False,0,True,,Jhojhanni Fiorini,/actualidad/calendario-lunar-2026-los-dias-que-debes-evitar-para-cortarte-el-cabello/
True,False,0,False,,Jhojhanni Fiorini,/technology/iphone-18-pro-precio-fecha-de-lanzamiento-y-caracteristicas-filtradas/
False,False,0,True,,Jhojhanni Fiorini,/empresas/sport-business/quien-ganara-la-copa-del-mundo-las-probabilidades-de-argentina-inglaterra-y-espana-segun-opta/
True,False,0,False,,Jhojhanni Fiorini,/actualidad/ranking-de-presidentes-de-eeuu-con-mas-deportaciones/
False,False,0,False,,Jhojhanni Fiorini,/actualidad/resultados-de-las-loterias-del-31-de-mayo-de-2026-en-republica-dominicana/
True,False,0,True,,Jhojhanni Fiorini,/money-invest/republica-dominicana/monorriel-vs-metro-cual-es-la-diferencia-real-y-cual-conviene-para-santo-domingo/
False,False,0,False,,Jhojhanni Fiorini,/empresas/sport-business/fortuna-de-gianni-infantino-cuanto-gana-el-presidente-de-la-fifa-y-como-construyo-su-patrimonio-antes-del-mundial-2026/
True,False,0,True,,Jhojhanni Fiorini,/money-invest/ranking-del-salario-minimo-en-latinoamerica-en-2026/
False,False,0,False,,Jhojhanni Fiorini,/technology/devices/iphone-18-pro-max-air-o-17e-cual-es-el-mejor-iphone-para-comprar-en-2026/
False,False,0,True,,Jhojhanni Fiorini,/technology/iphone-18-pro-las-5-mejoras-que-apple-prepara-y-lo-que-cambiarian-en-cada-modelo/
True,False,0,False,,Jhojhanni Fiorini,/money-invest/republica-dominicana/resultados-loteria-nacional-15-febrero-2026-numeros-ganadores/
True,False,0,False,,Jhojhanni Fiorini,/actualidad/ranking-de-los-shows-de-medio-tiempo-mas-vistos-del-super-bowl-antes-del-show-record-de-bad-bunny/
True,True,8,True,,Juan Botero,/empresas/la-ia-transforma-las-empresas-dominicanas-casos-estrategias-y-vision-nacional/
True,True,1,True,,Juan Botero,/construccion/construccion-rd-16-mil-millones-pib/
True,False,0,False,,Juan Botero,/empresas/estructuras-metalicas-lujo-eficiencia/
False,False,0,False,,Karime Rivas,/mercado-women/leadership/rita-abinader-eentrevista-exclusiva/
False,False,0,False,,Karime Rivas,/mercado-women/working-monthers/maternidad-despues-de-los-40/
False,False,0,False,,Karime Rivas,/mercado-women/trends/dua-lipa-nespresso/
False,False,0,False,,Karime Rivas,/lifestyle/mercadoteca/lecturas-warren-buffet/
False,False,0,False,,Karime Rivas,/mercado-women/leadership/rita-abinader-mision-humanitaria/
False,False,0,False,,Karime Rivas,/mercado-women/trends/kim-kardashian-subasta-galliano/
False,False,0,False,,Karime Rivas,/medihealth/20-alimentos-que-debes-evitar-si-tienes-hipertension/
False,False,0,False,,Karime Rivas,/mercado-women/executive-profiles/benetton-en-quiebra/
False,False,0,True,,Karime Rivas,/medihealth/wellbeing/dejar-el-azucar/
True,False,0,False,,Karime Rivas,/mercado-women/bengals-de-cincinnati-hermanas-blackburn/
False,False,0,False,,Karime Rivas,/mercado-women/executive-profiles/katia-itzel-garcia-fifa/
False,False,0,False,,Karime Rivas,/influencers2/lisa-brennan-jobs-transformo-la-herencia-de-steve-jobs/
False,False,0,False,,Karime Rivas,/medihealth/wellbeing/leer-para-sanar/
False,False,0,True,,Karime Rivas,/mercado-women/leadership/ana-lucia-pineda-primera-dama-colombia/
False,False,0,False,,Karime Rivas,/mercado-women/trends/shakira-exito-dai-dai/
True,False,0,False,,Kenny Cayetano,/empresas/larimar-city-la-smart-city-que-reinventa-la-vida-y-la-inversion-en-punta-cana/
True,True,2,False,,Kenny Cayetano,/empresas/lia-castillo-de-rault-liderazgo-estrategico-y-poder-blando-al-servicio-de-la-diplomacia-dominicana/
False,False,0,False,,Kenny Cayetano,/empresas/espalsa-liderazgo-con-vision-sostenible/
True,False,0,False,,Kenny Cayetano,/empresas/grupo-joseda-presenta-meridiano-18-el-nuevo-work-life-district-de-cap-cana/
False,False,0,False,,Laura Peralta,/country-report/permisologia-bien-gestionada-para-la-inversion/
True,False,0,False,,Laura Peralta,/country-report/arte-diseno-y-tecnologia-detras-de-cada-proyecto/
True,False,0,False,,Laura Peralta,/country-report/especializacion-tecnica-un-activo-de-la-inversion/
True,False,0,False,,Laura Peralta,/country-report/santiago-business-city-epicentro-de-inversion/
True,False,0,False,,Laura Peralta,/country-report/la-nueva-era-del-tabaco-dominicano/
False,False,0,False,,Laura Peralta,/country-report/la-nueva-apuesta-logistica-regional/
False,False,0,False,,Laura Peralta,/country-report/el-mejor-cielo-es-el-de-tu-tierra/
True,True,3,True,,Miguel Vega,/empresas/sport-business/republica-dominicana-el-poder-millonario-en-el-clasico-mundial-de-beisbol/
True,True,12,True,,Miguel Vega,/transporte-y-logistica/10-navieras-mas-grandes-del-mundo-2025/
True,True,1,False,,Miguel Vega,/empresas/pepin-corripio-legado-empresarial-y-humano-en-republica-dominicana/
True,False,0,False,,Miguel Vega,/empresas/sport-business/argentina-vs-inglaterra-mundial-2026-historia-rivalidad/
True,True,9,False,,Miguel Vega,/actualidad/hector-jose-rizek-llabaly-el-patriarca-del-cacao-dominicano/
False,True,4,False,,Miguel Vega,/empresas/los-titanes-del-mar-el-poder-de-las-5-mayores-navieras-del-mundo/
True,True,2,True,,Miguel Vega,/money-invest/ranking-de-los-10-paises-que-mas-invierten-en-republica-dominicana/
True,True,2,True,,Miguel Vega,/money-invest/economia-dominicana-inicia-2026-con-crecimiento-de-3-5-en-enero-el-mas-alto-en-diez-meses/
False,False,0,False,,Miguel Vega,/empresas/espana-vs-francia-semifinal-mundial-2026/
True,True,3,True,,Miguel Vega,/empresas/jose-miguel-gonzalez-cuadra-el-empresario-que-hizo-de-jumbo-algo-mas-que-una-palabra/
False,True,3,True,,Miguel Vega,/ediciones-especiales/collection-estilos-de-vida/swatch-audemars-piguet-royal-pop-colas-reventa-tokio-2026/
True,True,2,False,,Miguel Vega,/empresas/sport-business/espana-vs-argentina-la-finalissima-que-termino-siendo-la-final-del-mundial-2026/
True,True,6,False,,Miguel Vega,/vision-emprendedora/sectores-estrella-para-emprender-en-rd/
False,True,3,True,,Miguel Vega,/money-invest/daily-news/rusia-ataca-con-misiles-balisticos-infraestructura-industrial-del-centro-de-ucrania/
True,True,21,True,,Miguel Vega,/empresas/el-hombre-que-le-enseno-a-republica-dominicana-a-catar-el-buen-vino/
False,False,0,True,,Miranda Cross,/market-order/affairs/santo-domingo-avanza-20-puestos-en-el-indice-global-del-ecosistema-de-startups-2026/
False,False,0,False,,Miranda Cross,/market-order/retratos/la-casa-blanca-ha-liderado-al-real-madrid-en-una-etapa-que-ya-se-considera-la-mas-exitosa-de-la-historia-del-club/
False,False,0,False,,Normedy Gallardo,/empresas/brand-content/laboratorios-alfa-trayectoria-farmaceutica-de-confianza-y-calidad/
True,False,0,False,,Normedy Gallardo,/empresas/brand-content/cedimat-centro-integral-de-hemato-oncologia-una-moderna-opcion-para-pacientes-con-cancer/
False,False,0,False,,Omar Mendez,/empresas/farmacias-gbc-30-anos-salud-dominicanos/
True,False,0,False,,Paola Cohen,/perfiles/de-regreso-al-timon-personifica-el-compromiso-inquebrantable-con-el-arte-y-la-cultura-de-america-latina/
True,False,0,False,,Paola Cohen,/construccion/la-mega-obra-del-proyecto-de-panama-ruta-del-proyecto-ferroviario/
True,True,5,True,,Rodrigo Muñoz,/empresas/las-marcas-de-lujo-mas-valiosas-en-2024/
True,True,9,True,,Rodrigo Muñoz,/market-brief/finanzas/estas-son-las-tarjetas-de-credito-mas-exclusivas-del-mundo/
True,True,16,True,,Rodrigo Muñoz,/empresas/brand-business/ranking-las-10-marcas-farmaceuticas-mas-valoradas-del-mundo/
True,False,0,False,,Rodrigo Muñoz,/money-invest/ranking-paises-mas-competitivos-de-america-latina-en-2025/
False,True,2,True,,Rodrigo Muñoz,/money-invest/ranking-paises-con-mayor-deuda-externa-en-america-latina-2025/
True,False,0,False,,Rodrigo Muñoz,/lifestyle/ranking-las-10-ciudades-mas-caras-para-vivir-con-lujo-en-2025/
True,False,0,False,,Rodrigo Muñoz,/construccion/infraestructura/ranking-las-8-ciudades-latinoamericanas-con-mas-trafico-en-2025/
True,True,1,True,,Rodrigo Muñoz,/money-invest/internacional-economia/propiedades-jets-y-joyas-el-imperio-oculto-de-nicolas-maduro/
False,True,1,True,,Rodrigo Muñoz,/money-invest/ranking-estos-son-los-paises-mas-ricos-y-prosperos-de-latinoamerica/
True,True,10,True,,Rodrigo Muñoz,/empresas/ranking-las-10-empresas-con-mas-empleados-en-el-mundo-en-2025/
True,False,0,False,,Rodrigo Muñoz,/money-invest/ranking-estos-son-los-paises-con-mas-reservas-de-oro-en-latinoamerica/
False,True,1,False,,Rodrigo Muñoz,/lifestyle/los-linajes-del-poder-las-dinastias-reales-mas-ricas-del-mundo/
True,True,2,True,,Rodrigo Muñoz,/actualidad/extraterrestres-politica-e-ia-el-renovado-interes-por-baba-vanga-en-2026/
True,True,2,True,,Rodrigo Muñoz,/money-invest/republica-dominicana/amazon-inicia-operaciones-en-republica-dominicana-todo-lo-que-debes-saber/
True,True,1,False,,Rodrigo Muñoz,/empresas/la-caida-y-resurreccion-de-lego-el-imperio-que-se-reconstruyo-a-si-mismo/
True,False,0,False,,Stacy Frias,/empresas/liderazgo-femenino-valores-que-transforman-empresas/
True,False,0,False,,Stacy Frias,/empresas/arquitectura-sensorial-transforma-emociones-liza-ortega/
False,False,0,True,,marianbriceno,/tecnologia/videojuegos-clasificaciones/
True,False,0,False,,maynebatista,/medihealth/redes-sociales-en-adolescentes/
True,False,0,True,,pferreras,/technology/50-avances-tecnologicos-que-cambiaron-el-mundo-en-el-siglo-21/
False,False,0,False,,pferreras,/medihealth/4-principios-para-cultivar-una-tolerancia-que-beneficie-la-salud/
False,False,0,True,,pferreras,/medihealth/descubre-la-alimentacion-ideal-segun-tu-tipo-de-sangre/
False,False,0,False,,pferreras,/empresas/la-historia-de-amazon-una-compania-multimillonaria-que-inicio-en-un-garaje/
False,False,0,False,,pferreras,/empresas/frank-elias-rainieri-toma-control-de-grupo-puntacana/
False,False,0,False,,pferreras,/mercado-norte/don-freddy-espinal/
False,False,0,False,,pferreras,/mercado/regla-de-las-10000-horas/
False,False,0,False,,pferreras,/vida-en-la-cima/la-majestuosa-arquitectura-del-templo-de-la-merced-disenada-por-rodrigo-de-liendo/
False,False,0,False,,pferreras,/empresas/walmart-se-transforma-en-el-mercado-argentino-ahora-opera-como-changomas/
True,True,1,False,,pferreras,/market-brief/finanzas/por-que-la-universidad-no-te-garantiza-el-exito-financiero/
