Contenido,Título del video,Tiempo de publicación del video,Duración,Ingresos estimados (USD),Vistas,RPM (USD)
o6u1n5CvBeY,Vuelven los bombardeos de EE  UU  a Irán por el bloqueo de buques en Ormuz,"Jul 8, 2026",117,0.508,4424,0.171
-UaQ-9GawPM,10 terremotos en 7 meses la cadena sísmica nos mantiene en alerta,"Aug 12, 2026",159,0.375,8047,0.119
PP5jnSPUjXE,"Taposiris Magna, el tesoro sumergido que podría cambiar la historia - Dra. Kathleen Martínez Ep.4","Dec 11, 2024",796,0.334,98,4.557
JVrzJXcwxkI,La arqueóloga dominicana que logró lo inimaginable – Dra. Kathleen Martínez Ep.2,"Dec 9, 2024",402,0.289,164,1.892
0waYhkFY3AM,Orgullo dominicano que convirtió velocidad en millones: Marileidy Paulino,"Aug 6, 2026",97,0.264,3996,0.115
cgItzQG1hJs,Conversaciones con el Dr. Enrique Rojas Episode 4 - Mercado Podcast,"Aug 14, 2024",1286,0.217,53,3.125
O9cZyClnfe8,La dura decisión de no ceder el proyecto ni la bandera dominicana - Dra Kathleen Martínez Ep.3,"Dec 11, 2024",304,0.168,75,2.377
Z70RK6gN8fw,Mercado Octubre - Cover Story: Los Poma,"Sep 21, 2016",245,0.128,12,14.222
36XMpoilps4,¿Puede tomar Trump el control de Venezuela?,"Jul 1, 2026",105,0.116,1257,0.12
hYSpNJorCno,El origen de la COVID 19 vuelve al centro del poder en Washington,"Jul 30, 2026",145,0.107,1087,0.148
LmC-Svf2RKU,Los sucesores Business must go on - Sr. Román Ramos,"Aug 6, 2026",84,0.103,83,1.238
SYRpkV0YquE,Liderazgo con Luis Galindo: cómo la Psicología Positiva Transforma Vidas - Mercado Podcast,"Aug 7, 2024",4190,0.088,15,4.857
t1cjEnSdWJE,Cuando un milímetro cambia una vida: la precisión detrás de la cirugía robótica | Rene Sotelo,"Dec 19, 2025",560,0.081,15,5.083
ZvBpAfKgJrw,"México, Inglaterra, España y Francia… ¿fuera del Mundial?","Jul 31, 2026",81,0.077,779,0.161
BBt-DWbHX5s,¿Vale menos una medalla centroamericana que una olímpica?,"Aug 5, 2026",111,0.064,809,0.127
n5pRBmJqD8Y,El inicio del viaje tras la pista de Cleopatra - Dra. Kathleen Martínez Ep.1,"Dec 6, 2024",467,0.064,74,0.818
AxRpqREtrBU,De la CIA al servicio diplomático: Leah F. Campos y sus prioridades en RD,"Dec 17, 2025",815,0.062,30,2.696
thJuwFopEc8,La importancia del legado familiar en las empresas - Patricia Janiot,"Sep 28, 2024",2416,0.06,5,12
cV47gtFgzL8,La otra carrera de Marileidy Paulino construir talento después de conquistar el mundo,"Aug 14, 2026",100,0.059,627,
UPIxgt5NuB8,Cómo Cesarina Beauchamp convirtió su pasión por los aviones en una carrera de éxito,"Dec 18, 2023",2027,0.049,1,
NNUZzB-88LM,Entrevista exclusiva a Antonio y Agustín Lama - 40 under 40,"Nov 14, 2018",183,0.048,8,6.857
nTHaEn5IKgU,Infantino sigue perdiendo respaldo,"Aug 3, 2026",112,0.046,716,0.099
y0-PC407Egw,"Solvex Dominicana, servicios empresariales desde la nube","May 27, 2021",362,0.044,7,6.286
MHggLrPp8Aw,Conversaciones con el Dr. Enrique Rojas Episode 2 - Mercado Podcast,"Aug 10, 2024",1030,0.041,23,1.947
UBDGk785D7U,Victoria Holtz: El mindset que ya no sirve y cómo reemplazarlo con IA,"Jul 4, 2025",514,0.036,10,3.6
JQBx9orXtQU,¿Cómo se produce Ron Brugal?,"Nov 27, 2015",1519,0.034,33,0.917
T4Qvp2PSA44,¿Se vende el Mundial?  La polémica propuesta que desata una crisis en la FIFA,"Jul 29, 2026",95,0.034,440,0.148
2LeA0vrSaKY,Europa dividida la batalla por el control de sus fronteras,"Aug 4, 2026",102,0.032,367,0.145
p9TxV5waXJA,The Best Of DR 2025,"Aug 21, 2025",50,0.03,9,3.75
wuYK_s440ZI,Stanley Motta Presidente Copa Holdings en entrevista exclusiva para Revista Mercado,"Jul 12, 2018",909,0.028,57,0.49
i8eUpbgfbxU,La clave para equilibrar cabeza y corazón en la vida y el trabajo - Isabel Rojas Estapé,"Jul 4, 2025",2321,0.026,12,1.375
QA1h1I_c2g4,Informe que anticipó el riesgo sísmico en Venezuela llegó a su gobierno hace 25 años,"Jul 2, 2026",98,0.025,263,0.129
FDWJvHnBCtY,"Maeno Gómez Casanova, CEO de Maeno & Co","Jun 6, 2019",264,0.024,9,
JenpbYq6jTA,Raffaella y Emanuela Delfino - Presidente y VP de Finanzas - Consorcio Remix,"Dec 11, 2020",568,0.023,6,5
c5vsKM4mVB0,Cilpen: Cumpliendo con los 17 Objetivos de Desarrollo Sostenible,"Mar 21, 2022",306,0.02,22,0.941
99LGvbtOvBo,¿La peor derrota de Trump?  Opiniones divididas por el acuerdo de paz,"Jun 18, 2026",98,0.019,269,0.113
Kq_50FTdxkk,"Carlos Paulino, VP Mercadeo y Administración de Constructora Pedralbes","Jun 15, 2021",256,0.018,4,4.5
L5_DYEWNaOM,¿Será RD el próximo líder energético del Caribe? CLAUDIO HUEPE,"Aug 3, 2026",36,0.018,366,0.119
1fIxLDGNBE0,Isabel Rojas,"Jul 4, 2025",71,0.017,98,0.274
ED0RuIxS1K0,La guerra sacude los mercados internacionales,"Jul 14, 2026",86,0.017,267,0.141
bF243NHAEzs,"Ana Ibáñez: Tu cerebro no quiere que seas feliz, quiere que sobrevivas","Jun 3, 2025",875,0.017,9,2.833
_CXeuGcckuk,DP World: El Impacto de las Zonas Francas en el Crecimiento Económico de República Dominicana,"Sep 2, 2024",321,0.017,3,8
FlFwafyREag,Entrevista a Félix García Presidente de Afconagro,"Jul 20, 2018",701,0.016,1,16
4-VS4a7CUz0,Imposición arancelaria sacude los mercados: RD queda en la línea de impacto,"Jul 24, 2026",100,0.016,173,0.184
kPA6kWxdURM,Conversaciones con el Dr. Enrique Rojas Episode 3 - Mercado Podcast,"Aug 12, 2024",1082,0.016,19,0.941
J-DuD8zx9NI,Mercado Family Values 2023 - Evento completo,"Dec 7, 2023",8600,0.016,3,5.333
YR3Ymk8Z4ZI,Tiendas Garrido: Apertura y expansión para dinamización de la economía,"May 24, 2021",295,0.015,14,1.071
DllHnw8bnVw,Megaincendios temperaturas extremas ponen al mundo bajo presión climática,"Jul 28, 2026",113,0.015,205,0.132
5NIC2lEpA7M,Santo Domingo 2026 RD vuelve al centro del deporte regional,"Jul 24, 2026",115,0.013,132,0.173
2oRus5S6mUA,Guerra inminente: EE  UU  e Irán rompen el pacto de paz con bombardeos masivos,"Jul 9, 2026",84,0.013,165,0.169
9JkcqtBKizk,"Hidrobombeo, solar y eólica: el plan que transformará la matriz energética dominicana - EGEHID","Jul 17, 2025",509,0.011,2,11
eNTImZSfsTo,Promipyme: Líder en Microcréditos y Desarrollo Empresarial de las MIPYMES en RD,"Jun 14, 2024",325,0.011,1,11
wrDvvR5LYxg,Gilda Vásquez - ALTICE Dominicana - Mejores Empresas Para Trabajar 2020,"Sep 9, 2020",540,0.01,3,3.333
eb7j3XDV8FA,Catástrofe sísmica en Venezuela declaran estado de emergencia tras dos potentes terremotos,"Jun 25, 2026",101,0.01,125,0.159
fDWxg4LXHt0,Revista Mercado Just 40: Jorge Aguayo,"Nov 12, 2014",522,0.01,2,5
OpryEs10RUs,De campeones a sancionados: las consecuencias de la Albiceleste,"Jul 22, 2026",96,0.009,120,0.158
LI4BTntJUAw,¿Cleopatra descansa en el Taposiris Magna? - Dra. Kathleen Martínez,"Dec 10, 2024",57,0.009,239,0.076
N7-jOI-UdaY,Claves de éxito en crecimiento empresarial de MUSA,"Jul 27, 2026",30,0.009,133,0.155
aDkVGylH4Dg,La derrota expuso el lado más polémico de la Albiceleste,"Jul 20, 2026",134,0.009,127,0.123
b_ApiwVKmzQ,Dream Team Summit 2018. Miguel Jose Moya - Parte 1,"Jul 5, 2018",617,0.009,1,9
aeUI0zYcntM,En mundo digital ¿como te puedes convertir en un medio destacado?,"Jul 28, 2026",33,0.009,127,0.143
8WwnRyZSmWc,Arquitectura pro-sísmica: lecciones de Chile para República Dominicana | Cristian Wittig,"Sep 22, 2025",760,0.008,1,8
FPhdaGgto30,Rodrigo Miranda: Cómo usar la IA para ser más competitivo y más humano,"Apr 20, 2025",491,0.008,4,2
rpx1xIZ1NE0,Sin vía electoral ¿Ortega abre la puerta a una nueva dictadura en Nicaragua?,"Jul 21, 2026",111,0.008,117,0.123
FIAsl90v-Og,Juan Suárez - Co- fundador y Director Creativo Aristocrazy,"Nov 11, 2019",328,0.008,4,2
xAl5d5nJu40,"Jorge A. López Hilario, Socio fundador de LH Abogados","Sep 8, 2021",214,0.008,5,1.6
JQc7Pz-AT04,Saymon Díaz: Innovación en el Entretenimiento en RD - Mercado Interview,"May 17, 2024",1669,0.007,10,0.714
ldpMCSOjtn0,¿Cómo es el amor verdadero? Dr. Enrique Rojas en Mercado Podcast,"Aug 20, 2024",29,0.007,139,0.064
duEh_BhYkl0,México lidera el medallero y RD alcanza una marca histórica,"Jul 27, 2026",122,0.007,120,0.149
mTVRC-5Wfwg,EL GENIO DE LA CONSTRUCCIÓN EN REPÚBLICA DOMINICANA,"Jan 5, 2018",178,0.007,3,
W-J11wpZ-bI,Cover Story Región Norte: Mícalo Bermúdez,"Jun 12, 2015",522,0.007,3,2.333
4XbCuBmtGTY,"Banco Santa Cruz: Crecimiento, Trascendencia y Valor para RD | Entrevista con Fausto Pimentel","Mar 18, 2025",329,0.006,8,1
WX-ncvYcePc,El Psiquiatra como Médico de la Conducta: Dr. Enrique Rojas en el Episodio 1 de Mercado Podcast,"Aug 14, 2024",29,0.006,173,0.085
hSJQeQSN4ms,Hire Horatio: cambiando la percepción de un Contact Center de alta calidad - Mercado Interview,"Jul 26, 2024",265,0.006,4,1.5
ATzDQ6aEFJE,Escándalo en Venezuela se revela desvío de ayuda humanitaria tras los terremotos,"Jul 6, 2026",74,0.006,92,0.118
vV3Uw15K5Go,ÚLTIMA HORA Trump estalla tras filtración del acuerdo secreto con Irán,"Jun 12, 2026",89,0.006,93,0.109
9l0ZdInpWNc,La visión galáctica en los negocios de Manuel Corripio,"Nov 27, 2017",1945,0.006,3,2
IICnHd44kmU,LIDERAZGO FEMENINO DESDE EL AMOR Y EL ACERCAMIENTO - Maggie Henríquez,"Mar 28, 2017",942,0.006,3,2
8oq4zsjixlg,Fuertes confrontaciones al gobierno venezolano por la respuesta ante el desastre,"Jul 3, 2026",159,0.006,52,0.167
iyipM3wCg0k,Ligia Bonetti - Mercado Interview,"May 19, 2020",2262,0.006,2,3
UGbqp03U0Os,Oficina de Abogados J.M. Cabral y Báez  conversa con Revista Mercado,"Sep 18, 2014",348,0.005,4,1.333
nx2-dGLpQ9E,Descubriendo la tumba perdida de Cleopatra en Egipto - Dra. Kathleen Martínez,"Dec 11, 2024",31,0.005,188,0.052
cSmtd0VQLkw,"RESTART: El método para avanzar, solucionar y trascender – Ney Díaz","Mar 20, 2025",404,0.005,3,0.5
30O15yTA2_Y,Alerta sanitaria en Estados Unidos por un parásito intestinal,"Jul 15, 2026",94,0.005,50,0.208
TThQjzmE84Y,Adriana Dominguez - Consejera Delegada de Adolfo Dominguez,"Nov 11, 2019",442,0.005,4,1.25
W3aWou4xW4w,Seaboard y Energías Renovables: Un Futuro Sostenible y próspero para República Dominicana,"May 21, 2024",407,0.005,9,0.571
maxrYKTZcFk,"Willian Ramos, CEO Siempre Viajero RD","Oct 22, 2019",180,0.005,2,2.5
s4RNgBWCK3U,"El Catador: 25 años de evolución de mercado, cultura de vino y amistad - Mercado Podcast","Jul 26, 2024",3271,0.005,6,1
bp-rXclppw0,"José Mateo: 'Quien domina la data, domina el mercado'","Apr 26, 2022",142,0.004,1,4
by0aTcMMtoA,El número de víctimas de la tragedia sigue en ascenso y sismo de 5.2 sacude el Caribe,"Jun 26, 2026",80,0.004,69,0.136
DCvcdq8sjtg,"Mónika Leschhorn, Cofundadora y CEO de Costa Youth","Jul 5, 2021",173,0.004,1,4
I0lsHFeDLQQ,Jomery Rosario - Gerente Gestión Humana - Corporación Zona Franca Santiago,"Oct 29, 2020",481,0.004,2,
kEeDNDPZGdM,Terremotos e inundaciones en Venezuela: la crisis humanitaria sigue en aumento,"Jun 29, 2026",86,0.004,79,0.105
2nj2WP0jl40,Neurocirugía endovascular: Trayectoria y desafíos del Dr. Juan Isidro Ramirez,"Jul 12, 2024",446,0.004,17,0.235
73C0UNzUius,Polos turísticos: epicentros de la construcción,"Jun 5, 2018",2872,0.004,3,1.333
g-PfJ4XEJqA,¿Por qué RD duplicó su demanda de energía en 5 años?,"Jul 16, 2026",40,0.004,35,0.231
3fX2XtqoAMk,Erick Van Egeraat,"Jun 5, 2018",3875,0.004,3,1.333
V927einCJZo,Convertiremos el área en un cementerio  Irán lanza duras advertencias a EEUU,"May 27, 2026",108,0.004,44,0.158
qDC1S1XN3fQ,Paola Santana: Moonshot Mindset & Disrupción Tecnológica de Alto Impacto,"Mar 23, 2018",1461,0.004,1,4
5nnc6qUy6MM,Golpe interno para Trump: La disidencia republicana lo desarma,"Jun 5, 2026",96,0.004,45,0.125
kg6Ioa8DnK4,Antonio Novas - Country Manager McKinsey & Company,"Nov 9, 2020",1140,0.004,1,
GnGIbFkNR2Y,Doblete Sísmico de Venezuela y el Cinturón de Fuego:  Fenómenos Paralelos Sin Nexo Científico,"Jun 25, 2026",94,0.003,27,0.214
03z8wvNdI4c,Leadership Under 40 - 40 Under 40 2023,"Dec 7, 2023",993,0.003,1,3
kt8KOWGoTEc,"¿Cuál será la jugada de Trump, en este caso de corrupción sin precedentes?","Jun 19, 2026",108,0.003,20,0.182
eswczmi1PwY,Tragedia en Venezuela: suben las víctimas y continúan las réplicas,"Jun 26, 2026",91,0.003,38,0.107
Nrs0YLH06go,Ranking Numbeo 2026 Uruguay lidera la calidad de vida en América Latina,"Jul 2, 2026",95,0.003,19,0.3
YuFvhexloU8,Ni la intervención de Trump evitó la caída de EEUU ante Bélgica,"Jul 7, 2026",101,0.003,26,0.25
sfxcrO6nDr0,Intervención de Trump deja a la Fifa bajo fuego,"Jul 6, 2026",87,0.003,17,0.375
uwYRnem0B1w,República Dominicana derrota a Venezuela en el Clásico Mundial de Béisbol 2026,"Mar 12, 2026",50,0.003,61,0.081
oVCtM4Bbmqo,¿Conoces las cinco mejores ciudades para vivir en 2026,"Jul 7, 2026",107,0.003,27,0.333
7QDWpxoJYRo,Homenaje a Fernandito Rainieri - Definición de un Superhéroe,"Nov 13, 2018",523,0.003,4,0.75
1SsOYiYc4YM,El Pentágono bajo presión: La parálisis diplomática que fractura la imagen de fuerza de Trump,"Jun 19, 2026",106,0.003,37,0.15
1UPh3fZgVOw,Ataque con drones y misiles Irán desafía la seguridad de la región,"May 28, 2026",89,0.003,36,0.154
92oOJrePRJw,El “Súper Niño” amenaza la estabilidad económica regional,"May 19, 2026",92,0.003,28,0.111
hWQyQ08p4nk,"Retos y aprendizajes de una ejecutiva de McDonald’s: liderazgo, familia y legado | Andrea Brenes","Oct 23, 2025",167,0.003,2,3
hLfBxTGikAA,Roberto Stark - Parte 1,"Jun 3, 2019",1815,0.003,5,0.6
0EJ_AkUSQNI,Raquel Arbaje: Cómo entiende el poder la primera dama de RD,"Mar 15, 2025",1266,0.003,12,0.3
o-xz75s8ATQ,Jorge Rosas.  Mejores Empresas Para Trabajar 2019.,"Jul 16, 2019",4076,0.003,1,3
MeaiDjz9VS8,La nueva era gastronómica de Santo Domingo,"Jul 15, 2026",94,0.003,36,0.3
q_LAd7YAgQA,"Escándalo en el Mundial: Racismo, denuncias contra el VAR y furia por parcialidad","Jul 8, 2026",120,0.003,25,0.25
xlhu8INYrnc,Cómo Fersan transforma el campo dominicano con ciencia y sostenibilidad,"Aug 28, 2025",286,0.003,4,0.75
jLcjWcHzJDQ,Luis Miguel Guzmán - Presidente de C-VEN Technologies - Tech Talks,"Sep 28, 2020",931,0.003,1,3
hDtoZFS37t4,"""Siempre he buscado confrontar a los poderosos con la verdad"" - Patricia Janiot Ep. 01","Oct 10, 2024",573,0.003,1,
bqH3-tMv380,¿Por qué República Dominicana lidera el ranking mundial de las mejores playas de lationamérica?,"Jul 8, 2026",99,0.003,35,0.231
T3fL_dgX8pw,Las dinastías del poder: controlan la riqueza empresarial en EEUU,"Jul 1, 2026",136,0.003,39,0.188
LQSEGASv70I,El nuevo símbolo del campeón la FIFA entregará anillos por primera vez en un Mundial,"Jul 18, 2026",108,0.003,46,0.231
VZrNfq2_h4U,ICE bajo la lupa: dos muertes más en operativos migratorios,"Jul 14, 2026",135,0.003,34,0.2
eYZSIMiBctU,Raquel Arbaje: Cómo entiende el poder la primera dama de RD,"Mar 15, 2025",68,0.002,19,0.143
W7rL-TvHNdo,"Infiniti, una marca centrada en el ser humano","Mar 15, 2025",385,0.002,2,1
SMbadRW24hM,"Para Irán  ""ni paz, ni guerra""  mientras Trump reactiva las amenazas","Jun 10, 2026",75,0.002,43,0.059
Oc5qUuVaBJc,Nora Colón - Gerente Gestión Humana - La Aurora,"Dec 3, 2020",430,0.002,1,2
RgAtZpon-Vo,¿Trump pierde el control del tablero geopolítico frente a Israel e Irán?,"Jun 2, 2026",104,0.002,41,0.118
tEwDrt1IE4U,TECH SUMMIT 2025 Palabras Institucionales: Guido Gómez Mazara.,"Jun 3, 2025",55,0.002,25,0.143
5I-Eed7HHN4,Planeta en llamas: El impacto letal de la nueva ola de calor global,"Jun 23, 2026",92,0.002,29,0.154
EKWQohPfcUY,Electrolinera  Carga Ultra Rápida para Vehículos Eléctricos,"Mar 4, 2025",40,0.002,47,0.036
XsWgFsnSlTU,Ocean Fresh: Producción de pescado fresco en RD en menos de 24 horas,"Sep 11, 2025",161,0.002,4,0.333
96YO4jJZX1s,Castañer da un paso clave en República Dominicana,"Mar 15, 2019",92,0.002,2,1
pkiReMIUO-s,Trump bajo el fuego crítico y Rubio contra el Senado,"Jun 2, 2026",92,0.002,25,0.083
1OHTww1kCNs,30 años de prisión ¿Es suficiente esa condena?,"May 5, 2026",116,0.002,14,0.222
g7d9tAtclKY,Cynthia Hudson - CNN en Español,"Nov 18, 2019",598,0.002,4,0.5
WfwEqI5IbXY,Ranking de los terremotos más poderosos de la República Dominicana,"Feb 19, 2026",36,0.002,12,0.25
FXyFBdfB9R0,Alineación total de De la Espriella con Trump: Mano de Hierro con el narcotráfico,"Jun 24, 2026",114,0.002,18,0.2
WsLmWTSofyk,Nuevos bombardeos de EE  UU  sacude el tablero geopolítico,"May 26, 2026",76,0.002,34,0.167
dxPmeyn6PnQ,Trump marca línea firme: No habrá arma nuclear ni peajes en Ormuz,"May 22, 2026",85,0.002,37,0.154
RIblULzEgsM,Ranking de las monedas más fuertes de América Latina,"Jul 6, 2026",73,0.002,17,0.333
lgGWXn0gFbI,"Hecho en RD, pensado para el mundo: la visión de Cervecería Punta Cana","Apr 25, 2025",329,0.002,1,2
-zdjLu6bwWM,"Alex Castillo, Fundador y CEO de Neurosity","Jul 24, 2021",167,0.002,1,
VylENHnZRf0,Mercado CEO Edition - Cover Story: Rolando González Bunster,"Jun 7, 2016",373,0.002,1,
xSdE5zpc7HQ,"Guillermo Rondón, Presidente Ejecutivo de Banco Múltiple Ademi","Jul 12, 2021",301,0.002,1,2
XNikUz6UlXA,¿En qué ciudades se puede construir una carrera profesional sin sacrificar la calidad de vida?,"Jul 13, 2026",85,0.002,33,0.2
_x0rvvUHzF0,"Messi, el VAR y “el negocio detrás del mundial 2026¿está en duda la potencia Argentina","Jul 9, 2026",113,0.002,27,0.4
ax6o063nd10,¿Mundial de 64 selecciones?  La propuesta que divide al fútbol,"Jul 13, 2026",95,0.002,38,0.154
VVkKppU5sH0,Infraestructura devastada y millones de afectados el costo de la tragedia en Venezuela,"Jun 30, 2026",84,0.002,13,0.5
NGbiZM-qQWc,Intento de atentado en Washington obliga a evacuar a Donald Trump durante cena oficial,"Apr 26, 2026",36,0.002,24,0.167
584c70ZpUJc,Entrevista difícil con Álvaro Uribe - Patricia Janiot,"Oct 16, 2024",56,0.002,37,0.091
KkF5DiVOm0I,Medicina Ilustre 2015: Dr. Luis Taveras Guzmán,"Oct 19, 2015",217,0.002,4,0.5
JNrGvEJSKCg,Irán desmiente a Trump con relación a los acuerdos nucleares,"Jun 23, 2026",92,0.002,19,0.222
LktlNETRdn4,"EE UU  habla de avances, Irán niega una firma inmediata ¿Sigue la Guerra?","May 25, 2026",81,0.002,11,0.5
GkgsIbc05EA,¿Cuál es el reto de República Dominicana en el mercado de valores?,"Jul 20, 2026",41,0.002,48,0.2
ZG67YnPUrno,"Luis Galindo: Rompe tus creencias, disfruta tu trabajo y tu vida","Aug 30, 2024",56,0.002,7,0.5
hYd2-_IVRwk,Nueva alarma sanitaria mundial por Ébola emite hoy la OMS,"May 18, 2026",92,0.001,5,1
Ol3-JYN5x3I,Comentarios racistas contra Mbappé desatan una crisis política,"Jul 10, 2026",101,0.001,28,0.2
0MT4j6j1Lac,Cadena de suministro de América Latina en riesgo: El Conflicto Panamá-China,"Apr 29, 2026",112,0.001,8,0.333
DFhkhJrRcj4,Alerta: Irán y EE.UU. acercan nuevamente la guerra,"May 18, 2026",62,0.001,6,0
zMuklHsrDdU,Armando Rodríguez: La eficiencia energética es el corazón del futuro eléctrico,"Jun 7, 2025",399,0.001,1,
vm1HY10py2U,Celebración de Argentina desata polémica internacional,"Jul 16, 2026",100,0.001,38,0.167
GVLJTIO9EFg,Fuerte abucheo contra el presidente Donald Trump,"Jun 9, 2026",76,0.001,10,0.333
Cow9vbg4XVc,TOP 10 de las universidades del mundo,"Jul 3, 2026",92,0.001,17,0.2
6MVG-cYNwWs,¿Puede Colombia cambiar de rumbo político en solo una semana?,"May 25, 2026",96,0.001,9,0.333
GUqoxw_ZoZw,Cómo una mujer joven lidera la comunicación de un Ministerio clave | Mariel Ledesma,"Dec 15, 2025",309,0.001,3,0.333
cSQ0-OhINIg,Trump refuerza la “Presión Máxima” contra Irán,"May 1, 2026",89,0.001,31,0.091
OXf4Txly1JY,Grupo Noah: La importancia de la innovación en la Gastronomía de República Dominicana,"Sep 2, 2024",245,0.001,2,0.5
Yw5G_3yMZNE,"Nuevo código penal en RD por los derechos de las mujeres - Mayra Jiménez, ministra de la Mujer","Nov 20, 2024",44,0.001,10,0.143
RCYJhNVo_Sc,Explota vehículo en el Distrito Financiero en Nueva York,"May 20, 2026",37,0.001,6,0.333
i_GISMuNI8U,¿Por qué es importante el conflicto del Estrecho de Ormuz?,"Mar 20, 2026",85,0.001,5,0
AgHgojw8aSg,Messi y Yamal: la increíble historia detrás 19 años 1 final,"Jul 17, 2026",84,0.001,37,0.1
CbCQRjsrl70,¿Dónde invertir en Wall Street en 2026?  Esto recomienda Morgan Stanley,"Feb 25, 2026",46,0.001,3,1
4b2XFyVD1hU,GLP 1  - Impacto económico de los nuevos hábitos de consumo,"May 7, 2026",100,0.001,16,0.167
xekQ0qI2Hmw,El bloqueo naval continúa: la crisis mundial crece,"Apr 15, 2026",85,0.001,5,0
F3zZU_xYy10,¿Fuerzas armadas o soldados de Trump?  La agresiva estrategia de Pete Hegseth,"Jun 9, 2026",91,0.001,11,0.2
u5G_2nlisQ8,Se eleva la tension global Irán responde: hay implicaciones en comercio energetico,"Mar 25, 2026",109,0.001,18,0.1
Y57yjkKS9JU,¿Conoces la multimillonaria logística de transporte de la directiva de la FIFA?,"Jun 24, 2026",113,0.001,12,0.333
VfgjC2GiVL8,10 Destinos imprescindibles para armar tus próximas vacaciones V03,"Jul 13, 2026",98,0.001,23,0.5
rSQFND1uY-Q,Rosa Bonetti de Santana: Grupo Propagas comprometido con la excelencia,"Apr 29, 2021",226,0.001,1,1
xLyG1VZ0Ju4,"LARC: Más que consultores, aliados estratégicos que inspiran resultados","Jan 14, 2022",372,0.001,,
TFkWZGBsNh4,Clic de negocios: Steven Puig,"Apr 22, 2015",160,0.001,5,0.333
